model_answer,serial_number
"{""columns"":[""torque(Nm)""],""methods"":[""Descriptive Statistics: Skewness""]}",291
"{""columns"":[""adjusted_satisfaction"",""avg_satisfaction""],""methods"":[""Standard Deviation"",""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",292
"{""columns"":[""HP"",""Attack"",""Defense"",""Sp_Atk"",""Sp_Def"",""Speed"",""Pr_Male""],""methods"":[""Kolmogorov-Smirnov Test""]}",293
"{""columns"":[""Age""],""methods"":[""Kolmogorov-Smirnov Test for Uniform distribution""]}",294
"{""columns"":[""Total Library Visitors""],""methods"":[""Standard Deviation""]}",295
"{""columns"":[""Fjob"",""guardian""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",296
"{""columns"":[""TV Ad Budget ($)""],""methods"":[""Mean""]}",297
"{""columns"":[""Attack method: Hijacking""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test""]}",298
"{""columns"":[""Age"",""Potential""],""methods"":[""Kolmogorov-Smirnov Test""]}",299
"{""columns"":[""Student_Age""],""methods"":[""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",300
"{""columns"":[""F2015""],""methods"":[""Descriptive Statistics: Mean"",""Descriptive Statistics: Median"",""Descriptive Statistics: Mode"",""Descriptive Statistics: Range"",""Descriptive Statistics: Quartile"",""Descriptive Statistics: Standard Deviation""]}",301
"{""columns"":[""TOEFL Score"",""LOR ""],""methods"":[""Standard Deviation"",""Range"",""Quartile"",""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",302
"{""columns"":[""heart_disease"",""work_type""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",303
"{""columns"":[""Terrorism deaths"",""Death Age : 11-20 "",""Terrorist attacks""],""methods"":[""Partial Correlation Coefficient"",""Spearman Correlation Coefficient"",""Pearson Correlation Coefficient"",""Kendall Correlation Coefficient""]}",304
"{""columns"":[""United States"",""Philippines"",""Year""],""methods"":[""Descriptive Statistics: Standard Deviation"",""Descriptive Statistics: Range"",""Descriptive Statistics: Quartile"",""Variance Test: F-Test for Variance"",""Variance Test: Levene Test"",""Variance Test: Bartlett Test"",""Variance Test: Mood Variance Test""]}",305
"{""columns"":[""Dalc"",""absences""],""methods"":[""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Pearson Correlation Coefficient"",""Shapiro-Wilk Test of Normality"",""Kolmogorov-Smirnov Test for Normality"",""Anderson-Darling Test"",""Lilliefors Test"",""Kolmogorov-Smirnov Test""]}",306
"{""columns"":[""CreditScore"",""NumOfProducts""],""methods"":[""Levene Test"",""Bartlett Test"",""Mood Variance Test"",""F-Test for Variance""]}",307
"{""columns"":[""Sales ($)"",""Newspaper Ad Budget ($)"",""Radio Ad Budget ($)""],""methods"":[""Partial Correlation Coefficient"",""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",308
"{""columns"":[""Year"",""Japan""],""methods"":[""Median""]}",309
"{""columns"":[""ExerciseAngina"",""ChestPainType""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",310
"{""columns"":[""Brazil"",""China"",""Year""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Partial Correlation Coefficient"",""Mean"",""Median"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis"",""F-Test for Variance"",""Levene Test"",""Bartlett Test"",""Mood Variance Test""]}",311
"{""columns"":[""health""],""methods"":[""Descriptive Statistics: Skewness""]}",312
"{""columns"":[""Attack method: Assassination""],""methods"":[""Kolmogorov-Smirnov Test for Gamma distribution""]}",313
"{""columns"":[""Age"",""NumOfProducts""],""methods"":[""Levene Test"",""Bartlett Test"",""Mood Variance Test"",""F-Test for Variance""]}",314
"{""columns"":[""Indonesia"",""India""],""methods"":[""Standard Deviation"",""Range"",""Quartile"",""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",315
"{""columns"":[""PEER_PRESSURE"",""SHORTNESS OF BREATH"",""GENDER""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",316
"{""columns"":[""Age"",""MaxHR""],""methods"":[""Mood Variance Test"",""Levene Test"",""Bartlett Test"",""F-Test for Variance""]}",317
"{""columns"":[""AcceptedCmp2"",""Response""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",318
"{""columns"":[""Terrorist Death Type : Killed""],""methods"":[""Descriptive Statistics: Skewness""]}",319
"{""columns"":[""Residence_type"",""stroke"",""ever_married""],""methods"":[""Chi-square Independence Test"",""Mantel-Haenszel Test"",""Fisher Exact Test""]}",320
"{""columns"":[""age"",""Fedu""],""methods"":[""Kolmogorov-Smirnov Test""]}",321
"{""columns"":[""Nigeria"",""Vietnam""],""methods"":[""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",322
"{""columns"":[""math score"",""writing score""],""methods"":[""Descriptive Statistics: Standard Deviation"",""Variance Test: F-Test for Variance"",""Variance Test: Levene Test"",""Variance Test: Bartlett Test"",""Variance Test: Mood Variance Test""]}",323
"{""columns"":[""price(in lakhs)""],""methods"":[""Anderson-Darling Test"",""Shapiro-Wilk Test of Normality"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test""]}",324
"{""columns"":[""Residence_type"",""stroke""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test""]}",325
"{""columns"":[""PEER_PRESSURE"",""SMOKING"",""CHEST PAIN""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",326
"{""columns"":[""Death Age: 51-99 ""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test""]}",327
"{""columns"":[""Philippines"",""Indonesia""],""methods"":[""Standard Deviation"",""Range"",""Quartile"",""F-Test for Variance"",""Levene Test"",""Bartlett Test"",""Mood Variance Test""]}",328
"{""columns"":[""NumWebPurchases"",""NumStorePurchases""],""methods"":[""Descriptive Statistics"",""Kolmogorov-Smirnov Test"",""Anderson-Darling Test"",""Shapiro-Wilk Test of Normality"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Skewness"",""Kurtosis"",""Range"",""Quartile"",""Mean"",""Median"",""Mode"",""Standard Deviation""]}",329
"{""columns"":[""Bedrooms""],""methods"":[""Descriptive Statistics: Quartile""]}",330
"{""columns"":[""Total Program Attendees"",""# of Individuals Assisted in Pursuing Citizenship""],""methods"":[""Anderson-Darling Test"",""Shapiro-Wilk Test of Normality"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Kolmogorov-Smirnov Test"",""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",331
"{""columns"":[""Age"",""Height""],""methods"":[""F-Test for Variance"",""Levene Test"",""Bartlett Test"",""Mood Variance Test""]}",332
"{""columns"":[""farmprice""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test""]}",333
"{""columns"":[""Attack method: Unarmed Assault""],""methods"":[""Shapiro-Wilk Test of Normality"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Anderson-Darling Test""]}",334
"{""columns"":[""PEER_PRESSURE"",""CHRONIC DISEASE"",""GENDER""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",335
"{""columns"":[""math score""],""methods"":[""Shapiro-Wilk Test of Normality"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Anderson-Darling Test""]}",336
"{""columns"":[""Number of trees sold"",""Average Tree Price""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",337
"{""columns"":[""smoking_status"",""stroke""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",338
"{""columns"":[""Myanmar"",""Bangladesh""],""methods"":[""Standard Deviation"",""Range"",""Quartile"",""F-Test for Variance"",""Levene Test"",""Bartlett Test"",""Mood Variance Test""]}",339
"{""columns"":[""SWALLOWING DIFFICULTY"",""YELLOW_FINGERS"",""ANXIETY"",""PEER_PRESSURE"",""CHRONIC DISEASE"",""FATIGUE "",""ALLERGY "",""WHEEZING"",""COUGHING"",""SHORTNESS OF BREATH"",""CHEST PAIN""],""methods"":[""Mode""]}",340
"{""columns"":[""F2021""],""methods"":[""Median""]}",341
"{""columns"":[""adjusted_satisfaction""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Skewness"",""Kurtosis""]}",342
"{""columns"":[""Sex"",""ChestPainType""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",343
"{""columns"":[""type"",""age_certification""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",344
"{""columns"":[""Indonesia"",""Bangladesh""],""methods"":[""Kolmogorov-Smirnov Test"",""Anderson-Darling Test""]}",345
"{""columns"":[""# of Individuals Assisted in Pursuing Citizenship""],""methods"":[""Skewness""]}",346
"{""columns"":[""Europe""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test""]}",347
"{""columns"":[""ChestPainType"",""HeartDisease""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test""]}",348
"{""columns"":[""Weight""],""methods"":[""Skewness""]}",349
"{""columns"":[""studytime"",""health""],""methods"":[""Descriptive Statistics: Standard Deviation"",""Variance Test: Levene Test"",""Variance Test: Bartlett Test"",""Variance Test: F-Test for Variance"",""Variance Test: Mood Variance Test""]}",350
"{""columns"":[""type"",""age_certification""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",351
"{""columns"":[""NumWebVisitsMonth""],""methods"":[""Descriptive Statistics: Kurtosis""]}",352
"{""columns"":[""work_year""],""methods"":[""Kolmogorov-Smirnov Test for Exponential distribution""]}",353
"{""columns"":[""AGE""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test""]}",354
"{""columns"":[""Total"",""HP""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis"",""Shapiro-Wilk Test of Normality"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Anderson-Darling Test""]}",355
"{""columns"":[""Total Computer Usage (Wireless + PC Sessions)"",""New Cardholders"",""Total eMedia Circulation""],""methods"":[""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Partial Correlation Coefficient""]}",356
"{""columns"":[""ALLERGY "",""SHORTNESS OF BREATH""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",357
"{""columns"":[""CHRONIC DISEASE"",""WHEEZING"",""YELLOW_FINGERS""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",358
"{""columns"":[""Hour""],""methods"":[""Standard Deviation"",""Range"",""Quartile"",""Mean"",""Median"",""Skewness"",""Kurtosis""]}",359
"{""columns"":[""Terrorist Death Type : Suicide""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test""]}",360
"{""columns"":[""age"",""bmi""],""methods"":[""Standard Deviation"",""Range"",""Quartile"",""Levene Test"",""Bartlett Test"",""Mood Variance Test"",""F-Test for Variance""]}",361
"{""columns"":[""Death Age: 51-99 "",""Terrorist Death Type : Suicide""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",362
"{""columns"":[""Speed"",""Height_m""],""methods"":[""Range"",""Quartile"",""Standard Deviation"",""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",363
"{""columns"":[""Age"",""CH2O""],""methods"":[""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis"",""Mood Variance Test"",""Levene Test"",""Bartlett Test"",""F-Test for Variance""]}",364
"{""columns"":[""G3"",""absences"",""Dalc""],""methods"":[""Spearman Correlation Coefficient"",""Partial Correlation Coefficient""]}",365
"{""columns"":[""Pstatus"",""higher"",""famsize""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",366
"{""columns"":[""Sp_Def"",""Height_m""],""methods"":[""Descriptive Statistics: Standard Deviation"",""Descriptive Statistics: Range"",""Descriptive Statistics: Quartile"",""Variance Test: Levene Test"",""Variance Test: Bartlett Test"",""Variance Test: F-Test for Variance"",""Variance Test: Mood Variance Test""]}",367
"{""columns"":[""gpa""],""methods"":[""Descriptive Statistics: Range""]}",368
"{""columns"":[""salary_in_usd""],""methods"":[""Kolmogorov-Smirnov Test for Gamma distribution""]}",369
"{""columns"":[""GDP""],""methods"":[""Standard Deviation""]}",370
"{""columns"":[""adjusted_satisfaction""],""methods"":[""Shapiro-Wilk Test of Normality"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Anderson-Darling Test"",""Skewness"",""Kurtosis""]}",371
"{""columns"":[""Teaching Score""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test""]}",372
"{""columns"":[""Total eMedia Circulation""],""methods"":[""Median""]}",373
"{""columns"":[""Overall"",""Height""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",374
"{""columns"":[""price(in lakhs)""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Skewness"",""Kurtosis""]}",375
"{""columns"":[""Dalc""],""methods"":[""Descriptive Statistics: Skewness""]}",376
"{""columns"":[""Chance of Admit ""],""methods"":[""Shapiro-Wilk Test of Normality"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Anderson-Darling Test"",""Skewness"",""Kurtosis"",""Mean"",""Median"",""Quartile"",""Standard Deviation""]}",377
"{""columns"":[""NumCatalogPurchases"",""MntFruits"",""NumDealsPurchases""],""methods"":[""Partial Correlation Coefficient"",""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",378
"{""columns"":[""Value"",""Release Clause""],""methods"":[""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis"",""Shapiro-Wilk Test of Normality"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Anderson-Darling Test"",""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",379
"{""columns"":[""Research Quality Score"",""Teaching Score""],""methods"":[""Descriptive Statistics"",""Mood Variance Test"",""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",380
"{""columns"":[""Weight_kg""],""methods"":[""Median""]}",381
"{""columns"":[""Gender"",""MTRANS""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",382
"{""columns"":[""Weight"",""FCVC""],""methods"":[""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",383
"{""columns"":[""CHRONIC DISEASE"",""SWALLOWING DIFFICULTY"",""GENDER""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",384
"{""columns"":[""FAVC"",""NObeyesdad""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",385
"{""columns"":[""CGPA""],""methods"":[""Anderson-Darling Test"",""Shapiro-Wilk Test of Normality"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test""]}",386
"{""columns"":[""Thailand"",""India""],""methods"":[""Kolmogorov-Smirnov Test"",""Anderson-Darling Test"",""Levene Test"",""Bartlett Test"",""Mood Variance Test"",""F-Test for Variance""]}",387
"{""columns"":[""Value"",""Release Clause""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",388
"{""columns"":[""India""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test""]}",389
"{""columns"":[""Bangladesh""],""methods"":[""Standard Deviation""]}",390
"{""columns"":[""Education"",""Response""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",391
"{""columns"":[""avg_glucose_level"",""bmi""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Shapiro-Wilk Test of Normality"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Anderson-Darling Test"",""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis"",""F-Test for Variance"",""Levene Test"",""Bartlett Test"",""Mood Variance Test""]}",392
"{""columns"":[""runtime""],""methods"":[""Kolmogorov-Smirnov Test for Gamma distribution"",""Anderson-Darling Test""]}",393
"{""columns"":[""studytime"",""Dalc""],""methods"":[""Descriptive Statistics: Range"",""Descriptive Statistics: Quartile"",""Descriptive Statistics: Standard Deviation"",""Variance Test: Levene Test"",""Variance Test: Bartlett Test"",""Variance Test: Mood Variance Test"",""Variance Test: F-Test for Variance""]}",394
"{""columns"":[""SquareFeet""],""methods"":[""Kolmogorov-Smirnov Test for Gamma distribution""]}",395
"{""columns"":[""Myanmar"",""Year""],""methods"":[""Standard Deviation""]}",396
"{""columns"":[""CreditScore""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Skewness"",""Kurtosis""]}",397
"{""columns"":[""internet"",""romantic"",""Pstatus""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",398
"{""columns"":[""Terrorist attacks""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test""]}",399
"{""columns"":[""MntSweetProducts""],""methods"":[""Range""]}",400
"{""columns"":[""ALCOHOL CONSUMING"",""CHEST PAIN"",""FATIGUE ""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",401
"{""columns"":[""Average Tree Price"",""Sales""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",402
"{""columns"":[""NumCatalogPurchases"",""MntFishProducts"",""MntSweetProducts""],""methods"":[""Partial Correlation Coefficient"",""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",403
"{""columns"":[""RestingBP""],""methods"":[""Skewness"",""Mean"",""Median"",""Quartile"",""Standard Deviation"",""Kurtosis""]}",404
"{""columns"":[""Height_m""],""methods"":[""Kolmogorov-Smirnov Test for Uniform distribution""]}",405
"{""columns"":[""family_history_with_overweight"",""CAEC""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",406
"{""columns"":[""ALCOHOL CONSUMING"",""COUGHING"",""SMOKING""],""methods"":[""Mantel-Haenszel Test"",""Chi-square Independence Test"",""Fisher Exact Test""]}",407
"{""columns"":[""Vietnam"",""Indonesia""],""methods"":[""F-Test for Variance"",""Levene Test"",""Bartlett Test"",""Mood Variance Test""]}",408
"{""columns"":[""MntFishProducts"",""NumStorePurchases"",""Recency""],""methods"":[""Partial Correlation Coefficient"",""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",409
"{""columns"":[""CH2O"",""TUE"",""FCVC""],""methods"":[""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Partial Correlation Coefficient""]}",410
"{""columns"":[""Thailand"",""Year""],""methods"":[""Range""]}",411
"{""columns"":[""family_history_with_overweight"",""CAEC""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",412
"{""columns"":[""Rest of World""],""methods"":[""Median""]}",413
"{""columns"":[""Brazil""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test""]}",414
"{""columns"":[""NObeyesdad"",""SCC""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test""]}",415
"{""columns"":[""SMOKE"",""NObeyesdad""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",416
"{""columns"":[""Attack method: Unarmed Assault""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test""]}",417
"{""columns"":[""Pakistan"",""Indonesia"",""Year""],""methods"":[""F-Test for Variance"",""Levene Test"",""Bartlett Test"",""Mood Variance Test""]}",418
"{""columns"":[""Number of trees sold"",""Average Tree Price""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",419
"{""columns"":[""Dalc"",""goout"",""freetime""],""methods"":[""Partial Correlation Coefficient"",""Spearman Correlation Coefficient"",""Pearson Correlation Coefficient"",""Kendall Correlation Coefficient""]}",420
"{""columns"":[""MntSweetProducts"",""NumCatalogPurchases""],""methods"":[""Kolmogorov-Smirnov Test"",""Anderson-Darling Test""]}",421
"{""columns"":[""FAVC"",""NObeyesdad""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",422
"{""columns"":[""TOEFL Score"",""SOP""],""methods"":[""Kolmogorov-Smirnov Test"",""Mann-Whitney U Test""]}",423
"{""columns"":[""Attack method: Bombing/Explosion""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test""]}",424
"{""columns"":[""goout"",""Dalc"",""traveltime""],""methods"":[""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Partial Correlation Coefficient""]}",425
"{""columns"":[""United States"",""Myanmar""],""methods"":[""Standard Deviation"",""Range"",""Quartile"",""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",426
"{""columns"":[""F2010""],""methods"":[""Standard Deviation""]}",427
"{""columns"":[""freetime"",""health""],""methods"":[""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",428
"{""columns"":[""SquareFeet""],""methods"":[""Median""]}",429
"{""columns"":[""Dream Weight"",""Duration""],""methods"":[""Levene Test"",""Bartlett Test"",""Mood Variance Test"",""F-Test for Variance""]}",430
"{""columns"":[""kms_driven"",""engine(cc)""],""methods"":[""Descriptive Statistics: Standard Deviation"",""Descriptive Statistics: Range"",""Descriptive Statistics: Quartile"",""Variance Test: Levene Test"",""Variance Test: Bartlett Test"",""Variance Test: Mood Variance Test"",""Variance Test: F-Test for Variance""]}",431
"{""columns"":[""DEC""],""methods"":[""Range""]}",432
"{""columns"":[""freetime""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Descriptive Statistics: Skewness"",""Descriptive Statistics: Kurtosis""]}",433
"{""columns"":[""Age"",""NCP""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""F-Test for Variance"",""Levene Test"",""Bartlett Test"",""Mood Variance Test""]}",434
"{""columns"":[""SquareFeet"",""Bathrooms""],""methods"":[""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",435
"{""columns"":[""SOP""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test""]}",436
"{""columns"":[""SEP""],""methods"":[""Kurtosis""]}",437
"{""columns"":[""Number of trees sold"",""Sales""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",438
"{""columns"":[""Total Program Attendees"",""Total Cardholders"",""Total Library Visitors""],""methods"":[""Partial Correlation Coefficient"",""Spearman Correlation Coefficient""]}",439
"{""columns"":[""Bangladesh"",""India"",""Year""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Partial Correlation Coefficient"",""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",440
"{""columns"":[""Age""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Skewness"",""Kurtosis"",""Median"",""Quartile"",""Range""]}",441
"{""columns"":[""CAEC"",""family_history_with_overweight""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test""]}",442
"{""columns"":[""North America""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Skewness"",""Kurtosis""]}",443
"{""columns"":[""Nigeria"",""China""],""methods"":[""Descriptive Statistics: Standard Deviation"",""Descriptive Statistics: Range"",""Descriptive Statistics: Quartile"",""Variance Test: F-Test for Variance"",""Variance Test: Levene Test"",""Variance Test: Bartlett Test"",""Variance Test: Mood Variance Test""]}",444
"{""columns"":[""Philippines"",""Vietnam"",""Year""],""methods"":[""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test"",""Standard Deviation"",""Range"",""Quartile""]}",445
"{""columns"":[""Number of trees sold"",""Sales""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",446
"{""columns"":[""age"",""famrel""],""methods"":[""Levene Test"",""Bartlett Test"",""Mood Variance Test"",""F-Test for Variance""]}",447
"{""columns"":[""Recency"",""Kidhome"",""Income""],""methods"":[""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Partial Correlation Coefficient""]}",448
"{""columns"":[""Pstatus"",""nursery"",""address""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",449
"{""columns"":[""writing score""],""methods"":[""Quartile""]}",450
"{""columns"":[""Death Age : 21-50 "",""Attack method: Assassination"",""Attack method: Hostage Taking (Barricade Incident)""],""methods"":[""Partial Correlation Coefficient""]}",451
"{""columns"":[""Recency""],""methods"":[""Quartile""]}",452
"{""columns"":[""avg_satisfaction""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test""]}",453
"{""columns"":[""Hour""],""methods"":[""Kolmogorov-Smirnov Test for Exponential distribution""]}",454
