extracted_answer,serial_number
"{
  ""columns"": [""writing score""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",195
"{
  ""columns"": [""age""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",196
"{
  ""columns"": [""Number of trees sold"", ""Average Tree Price""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",197
"{
  ""columns"": [""Number of Ratings"", ""Rating""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient"", ""Mood Variance Test"", ""Levene Test"", ""Bartlett Test""]
}",198
"{
  ""columns"": [""income_inequality""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",199
"{
  ""columns"": [""Vietnam"", ""China""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",200
"{
  ""columns"": [""internet"", ""romantic"", ""sex""],
  ""methods"": [""Chi-square Independence Test""]
}",201
"{
  ""columns"": [""Age"", ""Balance""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",202
"{
  ""columns"": [""heart_disease"", ""work_type""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",203
"{
  ""columns"": [""Year"", ""Number of trees sold"", ""Sales""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",204
"{
  ""columns"": [""Myanmar"", ""China""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",205
"{
  ""columns"": [""Total"", ""Sp_Def""],
  ""methods"": [""F-Test for Variance"", ""Bartlett Test"", ""Levene Test"", ""Mood Variance Test""]
}",206
"{
  ""columns"": [""freetime"", ""Walc""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",207
"{""columns"": [""Research Environment Score""], ""methods"": [""Skewness""]}",208
"{
  ""columns"": [""Review""],
  ""methods"": [""Mean""]
}",209
"{
  ""columns"": [""SHORTNESS OF BREATH"", ""LUNG_CANCER"", ""ALLERGY""],
  ""methods"": [""Mantel-Haenszel Test""]
}",210
"{
  ""columns"": [""CHRONIC DISEASE"", ""SHORTNESS OF BREATH"", ""YELLOW_FINGERS""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",211
"{""columns"": [""adjusted_satisfaction"", ""happyScore""], ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]}",212
"{
  ""columns"": [""absences""],
  ""methods"": [""Standard Deviation""]
}",213
"{
  ""columns"": [""activities"", ""higher"", ""address""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",214
"{""columns"": [""Japan""], ""methods"": [""Quartile""]}",215
"{
  ""columns"": [""Nigeria"", ""Myanmar""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",216
"{
  ""columns"": [""ExerciseAngina"", ""HeartDisease""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",217
"{
  ""columns"": [""PEER_PRESSURE"", ""FATIGUE ""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",218
"{
  ""columns"": [""FCVC""],
  ""methods"": [""Median""]
}",219
"{
  ""columns"": [""Teenhome"", ""NumStorePurchases""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",220
"{
  ""columns"": [""max_power(bhp)""],
  ""methods"": [""Quartile"", ""Range"", ""Standard Deviation"", ""Skewness"", ""Kurtosis""]
}",221
"{
  ""columns"": [""Total"", ""Weight_kg""],
  ""methods"": [""Variance Test""]
}",222
"{""columns"": [""Pr_Male""], ""methods"": [""Shapiro-Wilk Test of Normality"", ""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}",223
"{
  ""columns"": [""Attack method: Armed Assault""],
  ""methods"": [""Quartile""]
}",224
"{
  ""columns"": [""Average Tree Price""],
  ""methods"": [""Kolmogorov-Smirnov Test for Exponential distribution""]
}",225
"{
  ""columns"": [""age""],
  ""methods"": [""Standard Deviation""]
}",226
"{
  ""columns"": [""Death Age : 11-20""],
  ""methods"": [""Quartile""]
}",227
"{
  ""columns"": [""Overall"", ""Special""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",228
"{
  ""columns"": [""freetime"", ""Walc""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",229
"{
  ""columns"": [""CHEST PAIN"", ""LUNG_CANCER"", ""WHEEZING""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",230
"{
  ""columns"": [""Body Type"", ""Real Face""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",231
"{
  ""columns"": [""International Outlook"", ""Research Environment Score""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",232
"{
  ""columns"": [""goout""],
  ""methods"": [""Mean""]
}",233
"{""columns"": [""North America""], ""methods"": [""Kolmogorov-Smirnov Test for Gamma distribution""]}",234
"{
  ""columns"": [""Pakistan"", ""Indonesia""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",235
"{
  ""columns"": [""WHEEZING"", ""COUGHING""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",236
"{""columns"": [""Total"", ""HP""], ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",237
"{
  ""columns"": [""FastingBS"", ""RestingECG""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",238
"{""columns"": [""GRE Score"", ""Chance of Admit ""], ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]}",239
"{
  ""columns"": [""type"", ""age_certification""],
  ""methods"": [""Chi-square Independence Test""]
}",240
"{""columns"": [""Price""], ""methods"": [""Mean"", ""Median"", ""Mode""]}",241
"{
  ""columns"": [""Death Age 100+""],
  ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",242
"{
  ""columns"": [""Terrorism deaths"", ""Attack method: Hostage Taking (Kidnapping)""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",243
"{
  ""columns"": [""Terrorist Death Type : Killed"", ""Attack method: Unarmed Assault"", ""Attack method: Assassination""],
  ""methods"": [""Partial Correlation Coefficient""]
}",244
"{
  ""columns"": [""school"", ""Fjob""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",245
"{
  ""columns"": [""Walc"", ""G3"", ""freetime""],
  ""methods"": [""Partial Correlation Coefficient""]
}",246
"{""columns"": [""income_inequality"", ""happyScore""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",247
"{""columns"": [""Sales""], ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test"", ""Anderson-Darling Test"", ""Mean"", ""Median"", ""Mode"", ""Range"", ""Quartile"", ""Standard Deviation"", ""Skewness"", ""Kurtosis""]}",248
"{
  ""columns"": [""AcceptedCmp4"", ""Response""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",249
"{
  ""columns"": [""NumWebPurchases"", ""MntMeatProducts"", ""MntWines""],
  ""methods"": [""Partial Correlation Coefficient""]
}",250
"{
  ""columns"": [""DEC""],
  ""methods"": [""Quartile""]
}",251
"{""columns"": [""Number of trees sold"", ""Sales""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",252
"{
  ""columns"": [""AGE""],
  ""methods"": [""Skewness""]
}",253
"{""columns"": [""Number of trees sold"", ""Sales""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",254
"{
  ""columns"": [""Teenhome"", ""MntFruits""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",255
"{
  ""columns"": [""Generation"", ""Color""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",256
"{
  ""columns"": [""Gender"", ""Education Level""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",257
"{
  ""columns"": [""Age"", ""BMI""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",258
"{
  ""columns"": [""CHEST PAIN"", ""LUNG_CANCER"", ""ALCOHOL CONSUMING""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",259
"{
  ""columns"": [""CH2O""],
  ""methods"": [""Kurtosis""]
}",260
"{
  ""columns"": [""FAVC"", ""NObeyesdad""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",261
"{
  ""columns"": [""Mjob"", ""guardian""],
  ""methods"": [""Chi-square Independence Test""]
}",262
"{
  ""columns"": [""age"", ""Dalc""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",263
"{
  ""columns"": [""math score""],
  ""methods"": [""Range""]
}",264
"{
  ""columns"": [""median_income"", ""GDP""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",265
"{
  ""columns"": [""Thailand"", ""India""],
  ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",266
"{
  ""columns"": [""school"", ""famsup""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",267
"{
  ""columns"": [""CHRONIC DISEASE"", ""LUNG_CANCER"", ""GENDER""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",268
"{
  ""columns"": [""ChestPainType"", ""ExerciseAngina""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",269
"{
  ""columns"": [""Attack method: Hijacking"", ""Death Age : 11-20""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",270
"{
  ""columns"": [""Exercise Intensity""],
  ""methods"": [""Mode""]
}",271
"{
  ""columns"": [""Age""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",272
"{
  ""columns"": [""Number of trees sold"", ""Average Tree Price""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",273
"{
  ""columns"": [""Sp_Atk"", ""Height_m""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",274
"{
  ""columns"": [""Terrorism deaths""],
  ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",275
"{
  ""columns"": [""Gender"", ""SMOKE""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",276
"{
  ""columns"": [""nursery"", ""address""],
  ""methods"": [""Chi-square Independence Test""]
}",277
"{
  ""columns"": [""North America""],
  ""methods"": [""Standard Deviation""]
}",278
"{
  ""columns"": [""famrel""],
  ""methods"": [""Kolmogorov-Smirnov Test for Gamma distribution""]
}",279
"{
  ""columns"": [""Total Computer Usage (Wireless + PC Sessions)"", ""# of Attendees at Children's and Teen Programming""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",280
"{
  ""columns"": [""Gender"", ""MTRANS""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",281
"{
  ""columns"": [""engine(cc)"", ""price(in lakhs)""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",282
"{
  ""columns"": [""COUGHING"", ""LUNG_CANCER"", ""ANXIETY""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",283
"{""columns"": [""adjusted_satisfaction"", ""median_income""], ""methods"": [""Kolmogorov-Smirnov Test""]}",284
"{
  ""columns"": [""ChestPainType"", ""HeartDisease""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",285
"{
  ""columns"": [""Japan"", ""India""],
  ""methods"": [""F-Test for Variance""]
}",286
"{
  ""columns"": [""Sp_Atk"", ""Sp_Def""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",287
"{
  ""columns"": [""school"", ""nursery""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",288
"{
  ""columns"": [""Actual Weight"", ""Duration""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",289
"{
  ""columns"": [""JUL"", ""AUG""],
  ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",290
"{""columns"": [""torque(Nm)""], ""methods"": [""Skewness""]}",291
"{
  ""columns"": [""adjusted_satisfaction"", ""avg_satisfaction""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",292
"{
  ""columns"": [""Total"", ""Pr_Male""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",293
"{
  ""columns"": [""Age""],
  ""methods"": [""Kolmogorov-Smirnov Test for Uniform distribution""]
}",294
"{
  ""columns"": [""Total Library Visitors""],
  ""methods"": [""Standard Deviation""]
}",295
"{
  ""columns"": [""Fjob"", ""guardian""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",296
"{""columns"": [""TV Ad Budget ($)""], ""methods"": [""Mean""]}",297
"{
  ""columns"": [""Attack method: Hijacking""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",298
"{
  ""columns"": [""Age"", ""Potential""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",299
"{
  ""columns"": [""Student_Age""],
  ""methods"": [""Mean"", ""Standard Deviation"", ""Range"", ""Quartile"", ""Skewness"", ""Kurtosis""]
}",300
"{
  ""columns"": [""F2015""],
  ""methods"": [""Mean"", ""Median"", ""Mode"", ""Range"", ""Quartile"", ""Standard Deviation"", ""Skewness"", ""Kurtosis""]
}",301
"{
  ""columns"": [""TOEFL Score"", ""LOR ""],
  ""methods"": [""Levene Test"", ""F-Test for Variance"", ""Bartlett Test""]
}",302
"{
  ""columns"": [""heart_disease"", ""work_type""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",303
"{
  ""columns"": [""Terrorist attacks"", ""Terrorism deaths"", ""Death Age : 11-20""],
  ""methods"": [""Partial Correlation Coefficient""]
}",304
"{
  ""columns"": [""United States"", ""Philippines""],
  ""methods"": [""F-Test for Variance""]
}",305
"{
  ""columns"": [""Dalc"", ""absences""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",306
"{
  ""columns"": [""CreditScore"", ""NumOfProducts""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",307
"{
  ""columns"": [""Sales ($)"", ""Newspaper Ad Budget ($)"", ""Radio Ad Budget ($)""],
  ""methods"": [""Partial Correlation Coefficient""]
}",308
"{
  ""columns"": [""Japan""],
  ""methods"": [""Median""]
}",309
"{
  ""columns"": [""ChestPainType"", ""ExerciseAngina""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Contingency Table Test""]
}",310
"{
  ""columns"": [""Year"", ""Brazil"", ""China""],
  ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",311
"{
  ""columns"": [""health""],
  ""methods"": [""Skewness""]
}",312
"{
  ""columns"": [""Attack method: Assassination""],
  ""methods"": [""Kolmogorov-Smirnov Test for Gamma distribution""]
}",313
"{
  ""columns"": [""Age"", ""NumOfProducts""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",314
"{
  ""columns"": [""Indonesia"", ""India""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",315
"{
  ""columns"": [""PEER_PRESSURE"", ""SHORTNESS OF BREATH"", ""GENDER""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",316
"{""columns"": [""Age"", ""MaxHR""], ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",317
"{
  ""columns"": [""AcceptedCmp2"", ""Response""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",318
"{
  ""columns"": [""Terrorist Death Type : Killed""],
  ""methods"": [""Skewness""]
}",319
"{
  ""columns"": [""Residence_type"", ""stroke"", ""ever_married""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",320
"{
  ""columns"": [""age"", ""Fedu""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",321
"{
  ""columns"": [""Nigeria"", ""Vietnam""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",322
"{
  ""columns"": [""math score"", ""writing score""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",323
"{
  ""columns"": [""price(in lakhs)""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Anderson-Darling Test"", ""Lilliefors Test""]
}",324
"{""columns"": [""Residence_type"", ""stroke""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]}",325
"{
  ""columns"": [""PEER_PRESSURE"", ""SMOKING"", ""CHEST PAIN""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",326
"{
  ""columns"": [""Death Age: 51-99""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Anderson-Darling Test"", ""Lilliefors Test""]
}",327
"{
  ""columns"": [""Philippines"", ""Indonesia""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",328
"{
  ""columns"": [""NumWebPurchases"", ""NumStorePurchases""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",329
"{
  ""columns"": [""Bedrooms""],
  ""methods"": [""Quartile""]
}",330
"{
  ""columns"": [""Total Program Attendees"", ""# of Individuals Assisted in Pursuing Citizenship""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",331
"{
  ""columns"": [""Age"", ""Height""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",332
"{
  ""columns"": [""farmprice""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test"", ""Anderson-Darling Test""]
}",333
"{
  ""columns"": [""Attack method: Unarmed Assault""],
  ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",334
"{
  ""columns"": [""PEER_PRESSURE"", ""CHRONIC DISEASE"", ""GENDER""],
  ""methods"": [""Mantel-Haenszel Test""]
}",335
"{
  ""columns"": [""math score""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test"", ""Mean"", ""Median"", ""Mode"", ""Range"", ""Quartile"", ""Standard Deviation"", ""Skewness"", ""Kurtosis""]
}",336
"{
  ""columns"": [""Number of trees sold"", ""Average Tree Price""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",337
"{
  ""columns"": [""smoking_status"", ""stroke""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",338
"{
  ""columns"": [""Myanmar"", ""Bangladesh""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",339
"{
  ""columns"": [""SWALLOWING DIFFICULTY"", ""GENDER"", ""AGE"", ""SMOKING"", ""YELLOW_FINGERS"", ""ANXIETY"", ""PEER_PRESSURE"", ""CHRONIC DISEASE"", ""FATIGUE"", ""ALLERGY"", ""WHEEZING"", ""ALCOHOL CONSUMING"", ""COUGHING"", ""SHORTNESS OF BREATH"", ""CHEST PAIN""],
  ""methods"": [""Mode"", ""Chi-square Independence Test""]
}",340
"{
  ""columns"": [""F2021""],
  ""methods"": [""Median""]
}",341
"{""columns"": [""adjusted_satisfaction""], ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}",342
"{
  ""columns"": [""Sex"", ""ChestPainType""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",343
"{
  ""columns"": [""type"", ""age_certification""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",344
"{
  ""columns"": [""Indonesia"", ""Bangladesh""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",345
"{""columns"": [""# of Individuals Assisted in Pursuing Citizenship""], ""methods"": [""Skewness""]}",346
"{
  ""columns"": [""Europe""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Anderson-Darling Test"", ""Lilliefors Test""]
}",347
"{
  ""columns"": [""ChestPainType"", ""HeartDisease""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",348
"{
  ""columns"": [""Weight""],
  ""methods"": [""Skewness""]
}",349
"{
  ""columns"": [""studytime"", ""health""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",350
"{
  ""columns"": [""type"", ""age_certification""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",351
"{
  ""columns"": [""NumWebVisitsMonth""],
  ""methods"": [""Kurtosis""]
}",352
"{
  ""columns"": [""work_year""],
  ""methods"": [""Kolmogorov-Smirnov Test for Exponential distribution""]
}",353
"{
  ""columns"": [""AGE""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test"", ""Anderson-Darling Test""]
}",354
"{""columns"": [""Total"", ""HP""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",355
"{
  ""columns"": [""Total Computer Usage (Wireless + PC Sessions)"", ""New Cardholders"", ""Total eMedia Circulation""],
  ""methods"": [""Partial Correlation Coefficient""]
}",356
"{
  ""columns"": [""ALLERGY"", ""SHORTNESS OF BREATH""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",357
"{
  ""columns"": [""CHRONIC DISEASE"", ""WHEEZING"", ""YELLOW_FINGERS""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",358
"{
  ""columns"": [""Hour""],
  ""methods"": [""Standard Deviation""]
}",359
"{
  ""columns"": [""Terrorist Death Type : Suicide""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",360
"{
  ""columns"": [""age"", ""bmi""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",361
"{
  ""columns"": [""Death Age: 51-99"", ""Terrorist Death Type : Suicide"", ""Terrorist attacks""],
  ""methods"": [""Correlation Analysis: Pearson Correlation Coefficient"", ""Correlation Analysis: Spearman Correlation Coefficient"", ""Correlation Analysis: Kendall Correlation Coefficient"", ""Partial Correlation Coefficient""]
}",362
"{
  ""columns"": [""Speed"", ""Height_m""],
  ""methods"": [""Variance Test"", ""Standard Deviation""]
}",363
"{
  ""columns"": [""Age"", ""CH2O""],
  ""methods"": [""Standard Deviation"", ""Range"", ""Variance Test""]
}",364
"{
  ""columns"": [""G3"", ""absences"", ""Dalc""],
  ""methods"": [""Partial Correlation Coefficient""]
}",365
"{
  ""columns"": [""Pstatus"", ""higher"", ""famsize""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",366
"{
  ""columns"": [""Sp_Def"", ""Height_m""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",367
"{""columns"": [""gpa""], ""methods"": [""Range""]}",368
"{
  ""columns"": [""salary_in_usd""],
  ""methods"": [""Kolmogorov-Smirnov Test for Gamma distribution""]
}",369
"{""columns"": [""GDP""], ""methods"": [""Standard Deviation""]}",370
"{
  ""columns"": [""adjusted_satisfaction""],
  ""methods"": [""Histogram"", ""Q-Q Plot"", ""Box Plot""]
}",371
"{""columns"": [""Teaching Score""], ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Anderson-Darling Test"", ""Lilliefors Test""]}",372
"{
  ""columns"": [""Total eMedia Circulation""],
  ""methods"": [""Median""]
}",373
"{
  ""columns"": [""Overall"", ""Height""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",374
"{
  ""columns"": [""price(in lakhs)""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",375
"{
  ""columns"": [""Dalc""],
  ""methods"": [""Skewness""]
}",376
"{
  ""columns"": [""Chance of Admit ""],
  ""methods"": [
    ""Shapiro-Wilk Test of Normality"",
    ""Kolmogorov-Smirnov Test for Normality"",
    ""Lilliefors Test"",
    ""Anderson-Darling Test"",
    ""Skewness"",
    ""Kurtosis""
  ]
}",377
"{
  ""columns"": [""NumCatalogPurchases"", ""MntFruits"", ""NumDealsPurchases""],
  ""methods"": [""Partial Correlation Coefficient""]
}",378
"{
  ""columns"": [""Value"", ""Release Clause""],
  ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",379
"{
  ""columns"": [""Research Quality Score"", ""Teaching Score""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient"", ""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",380
"{
  ""columns"": [""Weight_kg""],
  ""methods"": [""Median""]
}",381
"{
  ""columns"": [""Gender"", ""MTRANS""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",382
"{
  ""columns"": [""Weight"", ""FCVC""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",383
"{
  ""columns"": [""CHRONIC DISEASE"", ""SWALLOWING DIFFICULTY"", ""GENDER""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",384
"{
  ""columns"": [""FAVC"", ""NObeyesdad""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Cramér's V""]
}",385
