extracted_answer,serial_number,task,results,relevant_column,ground_truth,dataset,refined_question,difficulty,methods_comparison_result,columns_comparison_result,methods_score,columns_score,selection_overall
"{
  ""columns"": [""max_power(bhp)""],
  ""methods"": [""Quartile""]
}",221,Descriptive Statistics,"[{""method"": ""Quartile"", ""result"": ""\""{'Min': 5.0, 'Q1': 1197.0, 'Median': 1462.0, 'Q3': 1995.0, 'Max': 3258640000000.0}\"""", ""conclusion"": ""\""{'Min': 5.0, 'Q1': 1197.0, 'Median': 1462.0, 'Q3': 1995.0, 'Max': 3258640000000.0}\""""}]","[{""column_header"": ""max_power(bhp)"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""max_power(bhp)""], ""methods"": [""Quartile""]}",Used Car Dataset,"How are the values of the car engine's maximum power output, measured in brake horsepower (bhp), distributed across quartiles?",easy,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""Total"", ""Weight_kg""],
  ""methods"": [""Range"", ""Standard Deviation"", ""Variance Test""]
}",222,Variance Test,"[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": -1.10959, \""p value\"": 0.26718}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 159.18817, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","[{""column_header"": ""Total"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Weight_kg"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Total"", ""Weight_kg""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Pokedex Dataset,Do the variables Total and Weight_kg exhibit similar levels of data dispersion?,hard,"{""Correct"": 0, ""Wrong"": 3, ""Missed"": 2}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",0.0,1.0,0
"{
  ""columns"": [""Pr_Male""],
  ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",223,Distribution Compliance Test,"[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 94.70386, \\\""crit\\\"": 0.572}\""}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Lilliefors Test"", ""result"": ""{\""p value\"": 0.001}"", ""conclusion"": ""Non-normally distributed""}]","[{""column_header"": ""Pr_Male"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Pr_Male""], ""methods"": [""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}",Pokedex Dataset,Would it be appropriate to use methods assuming normality for analyzing the variable representing the probability of a Pokémon being male (Pr_Male)?,hard,"{""Correct"": 3, ""Wrong"": 1, ""Missed"": 0}","{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}",0.0,1.0,0
"{
  ""columns"": [
    ""Attack method: Armed Assault""
  ],
  ""methods"": [
    ""Quartile""
  ]
}",224,Descriptive Statistics,"[{""method"": ""Quartile"", ""result"": ""\""{'Min': 0.0, 'Q1': 0.0, 'Median': 0.0, 'Q3': 1.0, 'Max': 4037.0}\"""", ""conclusion"": ""\""{'Min': 0.0, 'Q1': 0.0, 'Median': 0.0, 'Q3': 1.0, 'Max': 4037.0}\""""}]","[{""column_header"": ""Attack method: Armed Assault"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Attack method: Armed Assault""], ""methods"": [""Quartile""]}",Terrorist Attacks Dataset,Could you calculate the quartile distribution for incidents involving armed assault as the attack method?,easy,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""Average Tree Price""],
  ""methods"": [""Kolmogorov-Smirnov Test for Exponential distribution""]
}",225,Distribution Compliance Test,"[{""method"": ""Kolmogorov-Smirnov Test for Exponential distribution"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-compliance""}]","[{""column_header"": ""Average Tree Price"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Average Tree Price""], ""methods"": [""Kolmogorov-Smirnov Test for Exponential distribution""]}",US Christmas Tree Sales Dataset,Is it reasonable to assume that the data for the average price of Christmas trees could have been sampled from an Exponential distribution?,easy,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""age""],
  ""methods"": [""Standard Deviation""]
}",226,Descriptive Statistics,"[{""method"": ""Standard Deviation"", ""result"": ""1.2172"", ""conclusion"": ""1.2172""}]","[{""column_header"": ""age"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""age""], ""methods"": [""Standard Deviation""]}",Student Performance Prediction Dataset,"Could you calculate the standard deviation of the students' ages, which range from 15 to 22?",easy,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""Death Age : 11-20""],
  ""methods"": [""Quartile""]
}",227,Descriptive Statistics,"[{""method"": ""Quartile"", ""result"": ""\""{'Min': 0.0, 'Q1': 0.0, 'Median': 0.0, 'Q3': 0.0, 'Max': 522.0}\"""", ""conclusion"": ""\""{'Min': 0.0, 'Q1': 0.0, 'Median': 0.0, 'Q3': 0.0, 'Max': 522.0}\""""}]","[{""column_header"": ""Death Age : 11-20 "", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Death Age : 11-20 ""], ""methods"": [""Quartile""]}",Terrorist Attacks Dataset,What are the quartile values for the age at death for individuals aged between 11 and 20?,easy,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""Overall"", ""Special""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",228,Correlation Analysis,"[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.69794}"", ""conclusion"": ""Strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.75555}"", ""conclusion"": ""Strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.59987}"", ""conclusion"": ""Strongly correlated""}]","[{""column_header"": ""Overall"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Special"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Overall"", ""Special""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",FIFA Official Dataset 2023,Is there a linear relationship between the player's overall rating of skills and abilities and the numerical value representing their special abilities?,easy,"{""Correct"": 3, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""freetime"", ""Walc""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient""]
}",229,Correlation Analysis,"[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.12024}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.12015}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.10096}"", ""conclusion"": ""Not strongly correlated""}]","[{""column_header"": ""freetime"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Walc"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""freetime"", ""Walc""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",Student Performance Prediction Dataset,Do patterns of free time after school correspond to patterns of weekend alcohol consumption?,easy,"{""Correct"": 2, ""Wrong"": 0, ""Missed"": 1}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",0.0,1.0,0
"{
  ""columns"": [""CHEST PAIN"", ""LUNG_CANCER"", ""WHEEZING""],
  ""methods"": [""Chi-square Independence Test""]
}",230,Contingency Table Test,"[{""method"": ""Mantel-Haenszel Test"", ""result"": ""{\""p value\"": 0.00533}"", ""conclusion"": ""Not independent""}]","[{""column_header"": ""CHEST PAIN"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""LUNG_CANCER"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""WHEEZING"", ""is_strata"": true, ""is_control"": false}]","{""columns"": [""CHEST PAIN"", ""LUNG_CANCER"", ""WHEEZING""], ""methods"": [""Mantel-Haenszel Test""]}",Lung Cancer Survey Dataset,Does the impact of CHEST PAIN on LUNG_CANCER remain consistent across varying levels of WHEEZING?,easy,"{""Correct"": 0, ""Wrong"": 1, ""Missed"": 1}","{""Correct"": 3, ""Wrong"": 0, ""Missed"": 0}",0.0,1.0,0
"{
  ""columns"": [""Body Type"", ""Real Face"", ""International Reputation""],
  ""methods"": [""Chi-square Independence Test""]
}",231,Contingency Table Test,"[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","[{""column_header"": ""Body Type"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Real Face"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Body Type"", ""Real Face""], ""methods"": [""Chi-square Independence Test""]}",FIFA Official Dataset 2023,Does a player's physical appearance or body type relate to whether they are accurately represented in the game?,hard,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 1, ""Missed"": 0}",1.0,0.0,0
"{
  ""columns"": [""International Outlook"", ""Research Environment Score""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient"", ""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",232,Variance Test,"[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": -4.54948, \""p value\"": 1e-05}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 155.94606, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","[{""column_header"": ""International Outlook"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Research Environment Score"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""International Outlook"", ""Research Environment Score""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",University Rank Dataset,To what extent do the variance patterns of the International Outlook score and the Research Environment score align?,hard,"{""Correct"": 2, ""Wrong"": 5, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",0.0,1.0,0
"{
  ""columns"": [""goout""],
  ""methods"": [""Mean""]
}",233,Descriptive Statistics,"[{""method"": ""Mean"", ""result"": ""3.1849"", ""conclusion"": ""3.1849""}]","[{""column_header"": ""goout"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""goout""], ""methods"": [""Mean""]}",Student Performance Prediction Dataset,What is the average value for the variable representing the frequency of going out with friends?,easy,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""North America""],
  ""methods"": [""Kolmogorov-Smirnov Test for Gamma distribution""]
}",234,Distribution Compliance Test,"[{""method"": ""Kolmogorov-Smirnov Test for Gamma distribution"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-compliance""}]","[{""column_header"": ""North America"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""North America""], ""methods"": [""Kolmogorov-Smirnov Test for Gamma distribution""]}",Video Games Sales Dataset,"Is the number of units sold in North America, in millions, consistent with a Gamma distribution?",easy,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""Year"", ""Pakistan"", ""Indonesia""],
  ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",235,Variance Test,"[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 3.47684, \""p value\"": 0.11151}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Bartlett Test"", ""result"": ""{\""stat\"": 3.9031, \""p value\"": 0.0482}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""F-Test for Variance"", ""result"": ""{\""stat\"": 228.09321, \""p value\"": 1e-05}"", ""conclusion"": ""Variance significantly difference between them""}]","[{""column_header"": ""Pakistan"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Indonesia"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Pakistan"", ""Indonesia""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",Crop Production Dataset,Are the annual crop production data variability in Pakistan and Indonesia comparable?,easy,"{""Correct"": 4, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 1, ""Missed"": 0}",1.0,0.0,0
"{
  ""columns"": [""WHEEZING"", ""COUGHING""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",236,Contingency Table Test,"[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}, {""method"": ""Fisher Exact Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","[{""column_header"": ""WHEEZING"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""COUGHING"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""WHEEZING"", ""COUGHING""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]}",Lung Cancer Survey Dataset,Do changes in the frequency of wheezing symptoms correspond to changes in the frequency of coughing symptoms?,easy,"{""Correct"": 0, ""Wrong"": 3, ""Missed"": 2}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",0.0,1.0,0
"{
  ""columns"": [""HP"", ""Attack"", ""Defense"", ""Sp_Atk"", ""Sp_Def"", ""Speed"", ""Total""],
  ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",237,Variance Test,"[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": -0.00118, \""p value\"": 0.99906}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 1059.0559, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","[{""column_header"": ""Total"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""HP"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Total"", ""HP""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Pokedex Dataset,"Are the variances of the sum of all the base stats (health points, attack, defense, special attack, special defense, and speed) and the base health points homogeneous?",hard,"{""Correct"": 2, ""Wrong"": 2, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 5, ""Missed"": 0}",0.0,0.0,0
"{
  ""columns"": [""FastingBS"", ""RestingECG""],
  ""methods"": [""Chi-square Independence Test""]
}",238,Contingency Table Test,"[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.00049}"", ""conclusion"": ""Not independent""}]","[{""column_header"": ""FastingBS"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""RestingECG"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""FastingBS"", ""RestingECG""], ""methods"": [""Chi-square Independence Test""]}",Heart Failure Prediction Dataset,Does the data provide any indication of a connection between fasting blood sugar levels (FastingBS) and the findings of resting electrocardiogram (RestingECG)?,hard,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""GRE Score"", ""Chance of Admit ""],
  ""methods"": [""Range"", ""Standard Deviation"", ""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",239,Variance Test,"[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 847.82876, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","[{""column_header"": ""GRE Score"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Chance of Admit "", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""GRE Score"", ""Chance of Admit ""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Dataset for Admission in the University,Do the GRE scores and the probability of admission show comparable variability in the data?,hard,"{""Correct"": 2, ""Wrong"": 4, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",0.0,1.0,0
"{
  ""columns"": [""type"", ""age_certification""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",240,Contingency Table Test,"[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","[{""column_header"": ""type"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""age_certification"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""type"", ""age_certification""], ""methods"": [""Chi-square Independence Test""]}",Netflix TV Shows and Movies Scores Dataset in IMDB,Do the observed frequencies of the type and age certification categories conform to the independence assumption?,hard,"{""Correct"": 1, ""Wrong"": 2, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",0.0,1.0,0
"{
  ""columns"": [""Price""],
  ""methods"": [""Mean""]
}",241,Descriptive Statistics,"[{""method"": ""Mean"", ""result"": ""224827.32515"", ""conclusion"": ""224827.32515""}]","[{""column_header"": ""Price"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Price""], ""methods"": [""Mean""]}",Housing Price Dataset,What is the average price?,easy,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""Death Age 100+"", ""Terrorist deaths""],
  ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",242,Distribution Compliance Test,"[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 3727.21048, \\\""crit\\\"": 0.576}\""}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Lilliefors Test"", ""result"": ""{\""p value\"": 0.001}"", ""conclusion"": ""Non-normally distributed""}]","[{""column_header"": ""Death Age 100+"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Death Age 100+""], ""methods"": [""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}",Terrorist Attacks Dataset,Is there evidence to suggest that the number of deaths of individuals aged 100 or above does not follow a normal distribution?,hard,"{""Correct"": 3, ""Wrong"": 1, ""Missed"": 0}","{""Correct"": 1, ""Wrong"": 1, ""Missed"": 0}",0.0,0.0,0
"{
  ""columns"": [""Terrorism deaths"", ""Attack method: Hostage Taking (Kidnapping)""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",243,Correlation Analysis,"[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.94431}"", ""conclusion"": ""Strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.69442}"", ""conclusion"": ""Strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.64002}"", ""conclusion"": ""Strongly correlated""}]","[{""column_header"": ""Terrorism deaths"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Attack method: Hostage Taking (Kidnapping)"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Terrorism deaths"", ""Attack method: Hostage Taking (Kidnapping)""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",Terrorist Attacks Dataset,Is there any relationship between the number of deaths resulting from terrorist attacks and the method of attack involving hostage taking through kidnapping?,easy,"{""Correct"": 3, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""Terrorist Death Type : Killed"", ""Attack method: Unarmed Assault"", ""Attack method: Assassination""],
  ""methods"": [""Partial Correlation Coefficient""]
}",244,Correlation Analysis,"[{""method"": ""Partial Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.23971, \""p value\"": 0.0}"", ""conclusion"": ""Not strongly correlated""}]","[{""column_header"": ""Terrorist Death Type : Killed"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Attack method: Unarmed Assault"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Attack method: Assassination"", ""is_strata"": false, ""is_control"": true}]","{""columns"": [""Terrorist Death Type : Killed"", ""Attack method: Unarmed Assault"", ""Attack method: Assassination""], ""methods"": [""Partial Correlation Coefficient""]}",Terrorist Attacks Dataset,"What is the relationship between the death of a terrorist (indicated by ""Killed"") and the involvement of unarmed assault, while controlling for the presence of assassination as the attack method?",easy,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 3, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""school"", ""Fjob""],
  ""methods"": [""Chi-square Independence Test""]
}",245,Contingency Table Test,"[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.00027}"", ""conclusion"": ""Not independent""}]","[{""column_header"": ""school"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Fjob"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""school"", ""Fjob""], ""methods"": [""Chi-square Independence Test""]}",Student Performance Prediction Dataset,"Does any evidence exist indicating a potential relationship between the type of school attended (Gabriel Pereira or Mousinho da Silveira) and the father's occupation (teacher, health care related, civil services, at home, or other), in terms of patterns?",hard,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""Walc"", ""G3"", ""freetime""],
  ""methods"": [""Partial Correlation Coefficient""]
}",246,Correlation Analysis,"[{""method"": ""Partial Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.16429, \""p value\"": 3e-05}"", ""conclusion"": ""Not strongly correlated""}]","[{""column_header"": ""Walc"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""G3"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""freetime"", ""is_strata"": false, ""is_control"": true}]","{""columns"": [""Walc"", ""G3"", ""freetime""], ""methods"": [""Partial Correlation Coefficient""]}",Student Performance Prediction Dataset,How are weekend alcohol consumption (Walc) and final grade (G3) related to each other after adjusting for the influence of free time after school?,easy,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 3, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""income_inequality"", ""happyScore""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",247,Correlation Analysis,"[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.18722}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.24211}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.16676}"", ""conclusion"": ""Not strongly correlated""}]","[{""column_header"": ""income_inequality"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""happyScore"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""income_inequality"", ""happyScore""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",Income and Happiness Score Dataset,Does a linear relationship exist between the level of income inequality and the overall happiness score within the country?,easy,"{""Correct"": 3, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""Sales""],
  ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",248,Distribution Compliance Test,"[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 0.62872, \\\""crit\\\"": 0.497}\""}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Shapiro-Wilk Test of Normality"", ""result"": ""{\""p value\"": 0.09591}"", ""conclusion"": ""Normally distributed""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 0.62599}"", ""conclusion"": ""Normally distributed""}]","[{""column_header"": ""Sales"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Sales""], ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality""]}",US Christmas Tree Sales Dataset,Is the variable representing the total revenue generated from Christmas tree sales in a given year suitable for methods that assume normality?,hard,"{""Correct"": 3, ""Wrong"": 1, ""Missed"": 0}","{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}",0.0,1.0,0
"{
  ""columns"": [""AcceptedCmp4"", ""Response""],
  ""methods"": [""Chi-square Independence Test""]
}",249,Contingency Table Test,"[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}, {""method"": ""Fisher Exact Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","[{""column_header"": ""AcceptedCmp4"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Response"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""AcceptedCmp4"", ""Response""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]}",Customer Personality Analysis Dataset,Is there a correspondence between variations in customer acceptance of the offer in the 4th campaign (AcceptedCmp4) and their response to the last campaign's offer (Response)?,easy,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 1}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",0.0,1.0,0
